teams1,teams2,score1,score2,date,time,location,game_status,1_1_inning,1_2_inning,1_3_inning,1_4_inning,1_5_inning,1_6_inning,1_7_inning,1_8_inning,1_9_inning,1_10_inning,1_11_inning,1_12_inning,1_R_inning,1_H_inning,1_E_inning,1_B_inning,2_1_inning,2_2_inning,2_3_inning,2_4_inning,2_5_inning,2_6_inning,2_7_inning,2_8_inning,2_9_inning,2_10_inning,2_11_inning,2_12_inning,2_R_inning,2_H_inning,2_E_inning,2_B_inning
롯데,KT,-,-,03.19,13:00,수원,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC,SSG,7,2,03.19,13:00,문학,경기종료,1,2,0,0,0,0,1,0,3,-,-,-,7,11,0,6,0,0,0,0,0,0,0,1,1,-,-,-,2,8,2,2
두산,한화,7,7,03.19,13:00,대전,경기종료,0,2,0,5,0,0,0,0,0,-,-,-,7,10,0,3,0,3,0,1,0,0,3,0,0,-,-,-,7,9,0,5
삼성,KIA,3,9,03.19,13:00,광주,경기종료,3,0,0,0,0,0,0,0,0,-,-,-,3,4,0,4,3,2,0,0,0,3,1,0,-,-,-,-,9,16,2,2
키움,LG,1,12,03.19,13:00,잠실,경기종료,0,0,0,0,1,0,0,0,0,-,-,-,1,5,3,5,0,3,5,0,0,4,0,0,-,-,-,-,12,14,1,4
한화,LG,2,8,03.23,14:00,잠실,경기종료,0,0,1,1,0,0,0,0,0,-,-,-,2,7,1,3,0,2,0,3,1,0,1,1,-,-,-,-,8,11,0,7
롯데,SSG,3,5,03.23,14:00,문학,경기종료,0,0,2,0,1,0,0,0,0,-,-,-,3,9,1,6,2,0,2,0,0,0,1,0,-,-,-,-,5,8,1,4
두산,NC,3,4,03.23,14:00,창원,경기종료,0,2,0,0,0,0,0,1,0,-,-,-,3,8,1,0,0,0,0,0,0,0,2,1,1,-,-,-,4,7,0,6
삼성,KT,6,2,03.23,14:00,수원,경기종료,0,1,0,0,0,0,1,0,0,4,-,-,6,11,1,6,0,0,1,1,0,0,0,0,0,4,-,-,2,5,2,5
키움,KIA,5,7,03.23,14:00,광주,경기종료,2,0,0,0,0,3,0,0,0,-,-,-,5,7,0,2,5,0,0,2,0,0,0,0,-,-,-,-,7,13,1,5
키움,KIA,-,-,03.24,14:00,광주,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한화,LG,8,4,03.24,14:00,잠실,경기종료,0,0,0,1,1,1,0,4,1,-,-,-,8,11,0,3,0,0,1,0,0,0,1,0,2,-,-,-,4,10,0,2
롯데,SSG,6,7,03.24,14:00,문학,경기종료,0,0,0,0,0,0,0,0,6,-,-,-,6,10,1,5,0,0,0,0,2,0,3,1,1,-,-,-,7,10,1,8
두산,NC,6,3,03.24,14:00,창원,경기종료,1,0,0,2,0,0,2,0,1,-,-,-,6,10,2,4,0,0,0,0,0,0,0,3,0,-,-,-,3,7,1,4
삼성,KT,11,8,03.24,14:00,수원,경기종료,2,1,0,1,0,3,2,2,0,-,-,-,11,18,0,9,0,0,0,1,0,0,0,0,7,-,-,-,8,16,2,1
한화,SSG,6,0,03.26,18:30,문학,경기종료,0,0,0,0,4,0,0,2,0,-,-,-,6,6,1,4,0,0,0,0,0,0,0,0,0,-,-,-,0,3,1,5
롯데,KIA,1,2,03.26,18:30,광주,경기종료,0,0,0,0,0,1,0,0,0,-,-,-,1,6,0,5,0,0,0,0,0,1,0,1,-,-,-,-,2,6,0,3
두산,KT,8,5,03.26,18:30,수원,경기종료,0,1,0,3,0,0,3,1,0,-,-,-,8,9,0,3,0,3,0,0,0,2,0,0,0,-,-,-,5,11,0,3
삼성,LG,3,4,03.26,18:30,잠실,경기종료,0,0,0,0,0,3,0,0,0,-,-,-,3,8,0,3,1,0,0,0,1,0,0,1,1,-,-,-,4,8,1,5
키움,NC,5,10,03.26,18:30,창원,경기종료,0,0,0,0,0,0,1,4,0,-,-,-,5,8,1,3,4,0,0,1,2,2,0,1,-,-,-,-,10,11,0,11
한화,SSG,3,1,03.27,18:30,문학,경기종료,1,0,0,1,0,0,1,0,0,-,-,-,3,2,0,9,0,0,0,0,0,1,0,0,0,-,-,-,1,5,3,3
롯데,KIA,2,8,03.27,18:30,광주,경기종료,0,0,0,0,0,1,1,0,0,-,-,-,2,6,2,3,6,0,0,0,0,0,2,0,-,-,-,-,8,10,3,7
두산,KT,11,8,03.27,18:30,수원,경기종료,1,0,6,1,1,1,1,0,0,-,-,-,11,18,2,2,0,0,3,0,2,0,1,1,1,-,-,-,8,8,0,11
삼성,LG,2,2,03.27,18:30,잠실,경기종료,0,0,1,0,1,0,0,0,0,0,0,0,2,5,0,8,1,0,0,0,0,1,0,0,0,0,0,0,2,11,2,9
키움,NC,2,6,03.27,18:30,창원,경기종료,0,0,0,0,2,0,0,0,0,-,-,-,2,6,0,7,0,2,0,3,0,0,1,0,-,-,-,-,6,8,0,6
롯데,KIA,-,-,03.28,18:30,광주,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키움,NC,-,-,03.28,18:30,창원,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한화,SSG,10,6,03.28,18:30,문학,경기종료,0,0,2,0,5,1,1,0,1,-,-,-,10,15,0,10,0,0,0,0,2,0,3,1,0,-,-,-,6,13,1,2
두산,KT,7,8,03.28,18:30,수원,경기종료,0,0,3,0,1,0,0,2,1,-,-,-,7,9,1,6,1,0,1,3,1,0,0,0,2,-,-,-,8,18,0,5
삼성,LG,1,18,03.28,18:30,잠실,경기종료,0,0,0,0,0,0,0,0,1,-,-,-,1,5,1,4,0,0,4,2,3,5,4,0,-,-,-,-,18,25,3,4
KIA,두산,4,2,03.29,18:30,잠실,경기종료,0,0,1,1,0,1,0,1,0,-,-,-,4,9,4,5,0,0,0,2,0,0,0,0,0,-,-,-,2,3,1,9
KT,한화,2,3,03.29,18:30,대전,경기종료,0,0,0,0,0,2,0,0,0,-,-,-,2,10,1,1,2,0,0,0,0,0,0,0,1,-,-,-,3,6,0,1
LG,키움,3,0,03.29,18:30,고척,경기종료,0,0,0,1,0,0,1,0,1,-,-,-,3,7,0,5,0,0,0,0,0,0,0,0,0,-,-,-,0,7,0,1
NC,롯데,1,3,03.29,18:30,사직,경기종료,0,1,0,0,0,0,0,0,0,-,-,-,1,5,0,0,0,0,0,0,0,3,0,0,-,-,-,-,3,8,2,3
SSG,삼성,6,4,03.29,18:30,대구,경기종료,4,0,1,0,0,0,1,0,0,-,-,-,6,11,1,2,0,1,0,0,0,0,3,0,0,-,-,-,4,4,0,5
KT,한화,5,8,03.30,14:00,대전,경기종료,0,0,0,0,2,1,0,0,2,-,-,-,5,10,2,4,0,0,4,1,1,0,2,0,-,-,-,-,8,12,0,6
KIA,두산,0,8,03.30,17:00,잠실,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,6,0,2,0,2,1,0,2,2,1,0,-,-,-,-,8,9,0,10
LG,키움,3,8,03.30,17:00,고척,경기종료,0,0,0,0,0,1,0,1,1,-,-,-,3,7,0,2,0,3,3,0,0,0,0,2,-,-,-,-,8,12,0,3
NC,롯데,8,0,03.30,17:00,사직,경기종료,3,0,1,4,0,0,0,0,0,-,-,-,8,14,0,3,0,0,0,0,0,0,0,0,0,-,-,-,0,7,2,2
SSG,삼성,9,6,03.30,17:00,대구,경기종료,0,0,6,0,0,2,0,0,1,-,-,-,9,12,1,8,0,0,2,1,1,0,1,1,0,-,-,-,6,11,1,6
KIA,두산,9,3,03.31,14:00,잠실,경기종료,0,0,0,0,3,0,1,3,2,-,-,-,9,14,0,6,0,0,0,0,0,0,0,1,2,-,-,-,3,8,0,5
KT,한화,3,14,03.31,14:00,대전,경기종료,0,0,0,1,0,0,0,0,2,-,-,-,3,7,0,2,0,7,4,0,0,0,2,1,-,-,-,-,14,18,1,3
LG,키움,4,8,03.31,14:00,고척,경기종료,0,0,0,0,0,0,0,0,4,-,-,-,4,8,0,2,1,1,0,1,0,0,5,0,-,-,-,-,8,14,0,5
NC,롯데,8,7,03.31,14:00,사직,경기종료,0,3,0,2,0,0,0,2,0,0,1,-,8,11,0,14,0,0,0,0,0,1,4,2,0,0,1,-,7,17,0,3
SSG,삼성,4,3,03.31,14:00,대구,경기종료,0,3,0,0,0,0,0,0,0,0,1,-,4,11,0,6,0,0,0,2,0,1,0,0,0,0,1,-,3,6,0,4
KIA,KT,6,10,04.02,18:30,수원,경기종료,0,0,0,0,0,0,0,1,5,-,-,-,6,15,2,2,0,0,0,1,0,3,2,4,-,-,-,-,10,9,1,6
롯데,한화,1,0,04.02,18:30,대전,경기종료,0,0,0,0,0,0,0,1,0,-,-,-,1,7,2,4,0,0,0,0,0,0,0,0,0,-,-,-,0,5,1,7
NC,LG,7,5,04.02,18:30,잠실,경기종료,0,2,0,0,0,3,2,0,0,-,-,-,7,10,0,6,0,0,0,2,2,0,1,0,0,-,-,-,5,11,0,7
두산,SSG,6,13,04.02,18:30,문학,경기종료,1,0,3,0,1,1,0,0,0,-,-,-,6,10,1,6,1,0,0,6,0,1,0,5,-,-,-,-,13,15,2,4
키움,삼성,8,3,04.02,18:30,대구,경기종료,0,0,0,2,2,4,0,0,0,-,-,-,8,11,1,4,0,0,0,1,0,0,0,2,0,-,-,-,3,7,0,2
롯데,한화,-,-,04.03,18:30,대전,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키움,삼성,-,-,04.03,18:30,대구,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIA,KT,5,1,04.03,18:30,수원,경기종료,0,1,0,2,0,2,0,0,0,-,-,-,5,13,1,1,1,0,0,0,0,0,0,0,0,-,-,-,1,7,0,0
NC,LG,0,5,04.03,18:30,잠실,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,7,2,6,1,3,0,0,0,0,1,0,-,-,-,-,5,8,0,4
두산,SSG,3,5,04.03,18:30,문학,경기종료,2,1,0,0,0,0,0,0,0,-,-,-,3,7,1,2,0,0,0,0,3,0,1,1,-,-,-,-,5,8,1,3
KIA,KT,6,3,04.04,18:30,수원,경기종료,0,3,0,0,0,2,1,0,0,-,-,-,6,12,1,2,0,1,0,1,0,0,1,0,0,-,-,-,3,7,1,3
롯데,한화,5,6,04.04,18:30,대전,경기종료,0,0,1,1,2,0,0,0,1,-,-,-,5,11,2,3,0,0,0,1,3,0,2,0,-,-,-,-,6,9,1,3
NC,LG,7,8,04.04,18:30,잠실,경기종료,1,5,1,0,0,0,0,0,0,0,0,-,7,14,0,7,3,0,2,0,0,2,0,0,0,0,0,-,8,11,1,10
두산,SSG,2,3,04.04,18:30,문학,경기종료,0,0,0,0,0,1,0,0,1,0,-,-,2,4,0,2,0,0,0,2,0,0,0,0,0,0,-,-,3,8,1,5
키움,삼성,10,1,04.04,18:30,대구,경기종료,0,0,2,0,1,2,0,0,5,-,-,-,10,12,1,5,0,0,0,0,1,0,0,0,0,-,-,-,1,4,1,3
한화,키움,7,11,04.05,18:30,고척,경기종료,0,0,1,3,0,0,3,0,0,-,-,-,7,9,2,7,0,0,0,0,10,0,0,1,-,-,-,-,11,13,1,4
KT,LG,8,7,04.05,18:30,잠실,경기종료,1,1,1,1,3,0,0,0,0,1,-,-,8,11,1,11,0,3,0,0,1,3,0,0,0,1,-,-,7,10,1,4
두산,롯데,4,3,04.05,18:30,사직,경기종료,0,0,2,0,1,0,1,0,0,-,-,-,4,10,2,7,1,0,0,1,1,0,0,0,0,-,-,-,3,5,0,2
SSG,NC,0,5,04.05,18:30,창원,경기종료,0,0,0,0,0,0,0,0,0,-,-,-,0,4,0,0,4,0,0,1,0,0,0,0,-,-,-,-,5,11,0,3
